Governor ID,exactName,Power,T4-Kills,T5-Kills,Dead Troops,Governor ID,exactName,Power,T4-Kills,T5-Kills,Dead Troops,Governor ID,exactName,Power,T4-Kills Gained,T5-Kills Gained,Dead Troops Gained
133890181,ᴮᴴSc0rli0,31.317.628,6.364.846,712.808,609.504,133804747,HaVa,28.113.053,5.495.509,9.051,482.354,133804747,HaVa,28.113.053,1.897.306,214.520,205.361
134445066,ᴮᴴBARBARIAN,31.116.310,6.772.182,152.933,128.409,134499531,社WhereIsJESUS,28.034.037,11.779.791,201.264,1.689.256,134499531,社WhereIsJESUS,28.034.037,1.387.921,225.200,277.699
134351164,ᴮᴴNvTnoe,30.579.454,7.606.235,359.934,1.149.350,133996983,Group 2885 1,27.994.842,5.911.980,2.482,677.853,133996983,Group 2885 1,27.994.842,? Who tf is this,,
133878435,ᴮᴴZlaYa,30.002.356,8.068.076,73.407,1.019.026,133814737,ᴮᴴGorille٣,27.987.252,5.924.951,66.879,452.137,133814737,ᴮᴴGorille٣,27.987.252,857.530,254.885,79.028
116965836,ᴬᴺᴿ K0T,29.955.181,1.875.311,307.702,816.411,133932503,乂 Lazyboy 乂,27.837.804,2.853.914,25.817,696.760,133932503,乂 Lazyboy 乂,27.837.804,1.882.771,261.321,242.694
133996983,Bagocuk,29.934.458,8.377.369,388.633,940.988,133762455,ᴮᶠ Starozz,27.738.914,4.026.315,31.967,707.372,133762455,ᴮᶠ Starozz,27.738.914,4.920.735,651.072,325.433
134009910,ᴮᴴCranberry,29.751.993,1.885.051,33.934,285.855,134628502,Enfluenza,27.419.315,180.065,0,539.640,134628502,Enfluenza,27.419.315,1.618.839,379.046,436.479
134398822,ᶜⁿTicloud,29.647.725,1.062.655,70.530,460.939,133743878,HarleyDown1ng,27.205.529,211.753,2.057,502.883,133743878,HarleyDown1ng,27.205.529,0,0,0
133932503,乂 Lazyboy 乂,29.366.372,4.736.685,287.138,939.454,134622987,ᴮᴴBaba Yaga,27.182.368,2.317.523,17.258,158.649,134622987,ᴮᴴBaba Yaga,27.182.368,1.220.929,257.297,161.887
133804747,ᴮᴴHaVa,29.322.163,7.392.815,223.571,687.715,133691120,ᴮᴴLaGata,26.865.372,11.792.078,19.948,497.457,133691120,ᴮᴴLaGata,26.865.372,10.239.705,206.476,210.545
134021894,亗KVK亗,29.161.223,11.601.593,240.525,660.174,123983215,ᵀʷˢ MILO,26.704.956,3.400.863,79.640,1.523.319,123983215,ᵀʷˢ MILO,26.704.956,1.302.544,36.435,151.246
134660175,亗 BLÅCK 亗,28.914.847,2.162.299,187.689,653.330,133890181,ᴮᴴSc0rli0,26.662.314,2.659.977,443.980,435.791,133890181,ᴮᴴSc0rli0,26.662.314,3.704.869,268.828,173.713
134375605,ᴮᴴ AnderS,29.803.726,1.947.215,106.959,311.658,134410322,ᴮᴴAhYe,26.629.847,1.258.784,13.026,643.445,134410322,ᴮᴴAhYe,26.629.847,247.447,21.859,31.751
123983215,ᵀʷˢ MILO,28.792.037,4.703.407,116.075,1.674.565,133935921,ᴮᴴSmoK๛HC,26.588.605,7.070.655,814.910,696.243,133935921,ᴮᴴSmoK๛HC,26.588.605,4.305.792,423.587,91.487
134300355,Tarboooz,28.666.338,3.447.180,47.847,612.194,134009910,ᴮᴴCranberry,26.564.397,1.277.388,309,280.576,134009910,ᴮᴴCranberry,26.564.397,607.663,33.625,5.279
134326348,亗 파파스머프 亗,28.522.612,841.938,95.505,148.744,127452954,ᵀʷˢ Arya,26.515.456,2.345.300,161.406,570.894,127452954,ᵀʷˢ Arya,26.515.456,137.588,23.997,0
133762455,ᴮᶠ Starozz,28.457.034,8.947.050,683.039,1.032.805,134660175,亗 BLÅCK 亗,26.347.162,1.198.768,4.039,215.468,134660175,亗 BLÅCK 亗,26.347.162,963.531,183.650,437.862
134410322,ᴮᴴAhYe,28.385.549,1.506.231,34.885,675.196,133921026,ヤ Kayser Söze,26.270.502,1.288.241,126,0,133921026,ヤ Kayser Söze,26.270.502,121.491,1.748,0
128707143,ᴮᴴBakoeng,28.378.451,8.624.438,579.842,1.830.844,133801296,ᴮᴴ Zenitsu,26.653.261,14.156.028,81.191,992.542,133801296,ᴮᴴ Zenitsu,26.653.261,Migrated,,
133813651,ᴮᴴNeiiZ,28.366.149,2.485.892,133.464,445.338,134095657,Minh Quang AMG,25.992.992,3.980.513,103.895,133.174,134095657,Minh Quang AMG,25.992.992,61,0,0
133948475,PARROT 14,28.303.783,1.596.452,173.009,370.437,111757376,桜Poussin piou,25.943.531,8.463.902,1.735.217,2.905.428,111757376,桜Poussin piou,25.943.531,8.037.387,831.554,530.473
133804769,ᴮᴴPopokBayi,28.184.248,4.302.448,59.429,266.318,134057003,ᴮᴴWICK,25.770.628,2.188.458,4.622,313.398,134057003,ᴮᴴWICK,25.770.628,897.184,267.382,126.785
127452954,ᵀʷˢ Arya,28.106.805,2.482.888,185.403,570.894,134445066,ᴮᴴBARBARIAN,25.756.061,4.706.401,38.366,125.580,134445066,ᴮᴴBARBARIAN,25.756.061,2.065.781,114.567,2.829
137412631,ᴮᴴ Reyznor,28.104.965,17.494.240,378.440,668.363,134400916,ᴮᶠ Aldo,25.712.799,4.353.540,12.042,685.419,134400916,ᴮᶠ Aldo,25.712.799,3.488.131,300.146,383.793
133921026,ヤ Kayser Söze,28.028.140,1.409.732,1.874,0,134676342,VisionTune,25.566.678,1.438.280,4.823,63.574,134676342,VisionTune,25.566.678,0,0,0
134215002,ᴮᴴMMario777,28.021.989,2.018.861,16.930,372.637,134215002,ᴮᴴMMario777,25.474.975,1.999.927,16.930,372.637,134215002,ᴮᴴMMario777,25.474.975,18.934,0,0
133743878,HarleyDown1ng,27.931.764,211.753,2.057,502.883,133710582,ᴮᴴUnclePhaw,25.463.747,4.992.456,81.444,623.350,133710582,ᴮᴴUnclePhaw,25.463.747,Migrated,,
134400916,ᴮᶠ Aldo,27.903.003,7.841.671,312.188,1.069.212,133831613,ᴮᴴ ÆvanS,25.157.547,4.390.525,20.604,257.691,133831613,ᴮᴴ ÆvanS,25.157.547,Migrated,,
134082462,ЧайХона,27.854.542,3.934.937,107.151,219.390,128707143,ᴮᴴMIYABI,25.089.815,5.971.532,215.879,1.366.684,128707143,ᴮᴴMIYABI,25.089.815,Migrated,,
133776069,elkillermc14new,27.814.936,2.471.139,144.381,373.925,134187362,prime1102,25.021.907,207.245,0,3.981,134187362,prime1102,25.021.907,29.824,0,99.436
111757376,桜Poussin piou,27.736.924,16.501.289,2.566.771,3.435.901,133804769,ᴮᴴPopokBayi,25.009.903,2.070.692,1.573,228.979,133804769,ᴮᴴPopokBayi,25.009.903,2.231.756,57.856,37.339
134095657,Minh Quang AMG,27.718.300,3.980.574,103.895,133.174,134375605,ᴮᴴ AnderS,25.008.415,1.278.007,3.253,150.641,134375605,ᴮᴴ AnderS,25.008.415,669.208,103.706,161.017
